"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","response to nitrate","GO:0010167","false","0.00005087369357408368","4.293506730215892","13","406","6","15906","OS01G0704100,OS02G0112100,OS02G0112600,OS02G0595900,OS04G0665600,OS10G0554200"
"GO:BP","regulation of nucleobase-containing compound metabolic process","GO:0019219","false","0.00010697690557416471","3.9707099687096643","1958","406","84","15906","OS01G0134700,OS01G0141000,OS01G0174000,OS01G0185900,OS01G0196300,OS01G0298400,OS01G0313300,OS01G0575200,OS01G0624700,OS01G0625300,OS01G0693400,OS01G0714800,OS01G0821600,OS01G0826400,OS01G0900800,OS02G0132500,OS02G0178700,OS02G0187700,OS02G0191600,OS02G0232000,OS02G0265200,OS02G0638650,OS02G0649300,OS02G0671300,OS02G0677300,OS02G0687200,OS02G0698800,OS02G0713700,OS02G0752800,OS02G0766700,OS02G0791300,OS03G0133000,OS03G0169600,OS03G0171300,OS03G0191900,OS03G0214200,OS03G0237250,OS03G0270000,OS03G0437200,OS03G0725800,OS03G0741100,OS03G0764600,OS03G0799000,OS03G0811400,OS03G0860100,OS04G0517100,OS04G0541700,OS04G0572400,OS04G0580300,OS04G0586200,OS04G0605100,OS04G0648900,OS04G0665600,OS04G0690600,OS05G0129300,OS05G0183100,OS05G0537100,OS05G0549800,OS06G0107800,OS06G0166400,OS06G0284500,OS06G0496400,OS06G0662200,OS06G0726300,OS07G0119300,OS07G0182000,OS07G0184800,OS07G0581700,OS07G0602900,OS07G0606600,OS07G0674800,OS07G0684900,OS07G0688200,OS08G0487100,OS08G0490100,OS08G0535800,OS09G0410700,OS09G0457900,OS09G0474000,OS09G0522000,OS10G0376900,OS11G0184900,OS11G0705900,OS12G0634500"
"GO:BP","regulation of RNA metabolic process","GO:0051252","false","0.0001320634390135997","3.8792173976189455","1910","406","82","15906","OS01G0134700,OS01G0141000,OS01G0174000,OS01G0185900,OS01G0196300,OS01G0298400,OS01G0313300,OS01G0575200,OS01G0624700,OS01G0625300,OS01G0693400,OS01G0714800,OS01G0821600,OS01G0826400,OS01G0900800,OS02G0132500,OS02G0178700,OS02G0187700,OS02G0191600,OS02G0232000,OS02G0265200,OS02G0638650,OS02G0649300,OS02G0671300,OS02G0677300,OS02G0687200,OS02G0698800,OS02G0713700,OS02G0752800,OS02G0766700,OS02G0791300,OS03G0133000,OS03G0169600,OS03G0171300,OS03G0191900,OS03G0214200,OS03G0237250,OS03G0270000,OS03G0437200,OS03G0725800,OS03G0741100,OS03G0764600,OS03G0811400,OS03G0860100,OS04G0517100,OS04G0541700,OS04G0572400,OS04G0580300,OS04G0586200,OS04G0605100,OS04G0648900,OS04G0665600,OS04G0690600,OS05G0129300,OS05G0183100,OS05G0537100,OS05G0549800,OS06G0107800,OS06G0166400,OS06G0284500,OS06G0496400,OS06G0662200,OS06G0726300,OS07G0119300,OS07G0182000,OS07G0581700,OS07G0602900,OS07G0606600,OS07G0674800,OS07G0684900,OS07G0688200,OS08G0487100,OS08G0490100,OS08G0535800,OS09G0410700,OS09G0457900,OS09G0474000,OS09G0522000,OS10G0376900,OS11G0184900,OS11G0705900,OS12G0634500"
"GO:BP","response to water deprivation","GO:0009414","false","0.0001357901140945533","3.867131846774707","84","406","12","15906","OS02G0669100,OS02G0766700,OS03G0133000,OS03G0285800,OS03G0437200,OS03G0741100,OS04G0448900,OS04G0559700,OS04G0584600,OS06G0562200,OS11G0454300,OS11G0484500"
"GO:BP","response to water","GO:0009415","false","0.00018364811850156822","3.7360135166983355","87","406","12","15906","OS02G0669100,OS02G0766700,OS03G0133000,OS03G0285800,OS03G0437200,OS03G0741100,OS04G0448900,OS04G0559700,OS04G0584600,OS06G0562200,OS11G0454300,OS11G0484500"
"GO:BP","nitrate transmembrane transport","GO:0015706","true","0.0001861780712317652","3.730071473214381","10","406","5","15906","OS01G0704100,OS02G0112100,OS02G0112600,OS02G0595900,OS10G0554200"
"GO:BP","response to oxygen-containing compound","GO:1901700","false","0.0001861780712317652","3.730071473214381","506","406","32","15906","OS01G0136000,OS01G0704100,OS01G0826400,OS01G0908200,OS02G0112100,OS02G0112600,OS02G0128000,OS02G0595900,OS02G0612900,OS02G0669100,OS02G0766700,OS03G0125100,OS03G0133000,OS03G0171300,OS03G0266300,OS03G0285800,OS03G0437200,OS03G0741100,OS04G0448900,OS04G0559700,OS04G0584600,OS04G0618700,OS04G0665600,OS05G0407500,OS06G0562200,OS08G0374000,OS08G0440100,OS09G0439200,OS10G0533500,OS10G0554200,OS11G0454300,OS11G0484500"
"GO:BP","regulation of primary metabolic process","GO:0080090","false","0.00020242664381047207","3.6937323253385874","2334","406","94","15906","OS01G0124100,OS01G0124650,OS01G0134700,OS01G0141000,OS01G0167400,OS01G0174000,OS01G0185900,OS01G0196300,OS01G0298400,OS01G0313300,OS01G0575200,OS01G0624700,OS01G0625300,OS01G0693400,OS01G0714800,OS01G0821600,OS01G0826400,OS01G0900800,OS02G0132500,OS02G0178700,OS02G0187700,OS02G0191600,OS02G0232000,OS02G0265200,OS02G0638650,OS02G0649300,OS02G0671300,OS02G0677300,OS02G0687200,OS02G0698800,OS02G0713700,OS02G0752800,OS02G0766700,OS02G0791300,OS03G0107700,OS03G0133000,OS03G0169600,OS03G0171300,OS03G0191900,OS03G0214200,OS03G0237250,OS03G0270000,OS03G0370000,OS03G0437200,OS03G0725800,OS03G0741100,OS03G0764600,OS03G0799000,OS03G0811400,OS03G0823400,OS03G0860100,OS04G0517100,OS04G0541700,OS04G0572400,OS04G0580300,OS04G0586200,OS04G0605100,OS04G0648900,OS04G0665600,OS04G0690600,OS05G0129300,OS05G0183100,OS05G0326400,OS05G0537100,OS05G0549800,OS06G0107800,OS06G0166400,OS06G0284500,OS06G0496400,OS06G0562200,OS06G0662200,OS06G0726300,OS07G0119300,OS07G0182000,OS07G0184800,OS07G0568300,OS07G0581700,OS07G0602900,OS07G0606600,OS07G0674800,OS07G0684900,OS07G0688200,OS08G0374000,OS08G0487100,OS08G0490100,OS08G0535800,OS09G0410700,OS09G0457900,OS09G0474000,OS09G0522000,OS10G0376900,OS11G0184900,OS11G0705900,OS12G0634500"
"GO:BP","response to acid chemical","GO:0001101","false","0.00020242664381047207","3.6937323253385874","90","406","12","15906","OS02G0669100,OS02G0766700,OS03G0133000,OS03G0285800,OS03G0437200,OS03G0741100,OS04G0448900,OS04G0559700,OS04G0584600,OS06G0562200,OS11G0454300,OS11G0484500"
"GO:BP","regulation of nitrogen compound metabolic process","GO:0051171","false","0.0002030469009764251","3.692403634586201","2307","406","93","15906","OS01G0124100,OS01G0124650,OS01G0134700,OS01G0141000,OS01G0167400,OS01G0174000,OS01G0185900,OS01G0196300,OS01G0298400,OS01G0313300,OS01G0575200,OS01G0624700,OS01G0625300,OS01G0693400,OS01G0714800,OS01G0821600,OS01G0826400,OS01G0900800,OS02G0132500,OS02G0178700,OS02G0187700,OS02G0191600,OS02G0232000,OS02G0265200,OS02G0638650,OS02G0649300,OS02G0671300,OS02G0677300,OS02G0687200,OS02G0698800,OS02G0713700,OS02G0752800,OS02G0766700,OS02G0791300,OS03G0107700,OS03G0133000,OS03G0169600,OS03G0171300,OS03G0191900,OS03G0214200,OS03G0237250,OS03G0270000,OS03G0437200,OS03G0725800,OS03G0741100,OS03G0764600,OS03G0799000,OS03G0811400,OS03G0823400,OS03G0860100,OS04G0517100,OS04G0541700,OS04G0572400,OS04G0580300,OS04G0586200,OS04G0605100,OS04G0648900,OS04G0665600,OS04G0690600,OS05G0129300,OS05G0183100,OS05G0326400,OS05G0537100,OS05G0549800,OS06G0107800,OS06G0166400,OS06G0284500,OS06G0496400,OS06G0562200,OS06G0662200,OS06G0726300,OS07G0119300,OS07G0182000,OS07G0184800,OS07G0568300,OS07G0581700,OS07G0602900,OS07G0606600,OS07G0674800,OS07G0684900,OS07G0688200,OS08G0374000,OS08G0487100,OS08G0490100,OS08G0535800,OS09G0410700,OS09G0457900,OS09G0474000,OS09G0522000,OS10G0376900,OS11G0184900,OS11G0705900,OS12G0634500"
